Id	Tense	Sentence
1	Simple Present Tense	this day he goes to work.
2	Present Continuous Tense	now he is going to work.
3	Present Perfect Tense	this day he has gone to work.
4	Present Perfect Continuous Tense	today he has been going to work.
5	Simple Past Tense	last tuesday he went to work.
6	Past Continuous Tense	after breakfast he was going to work.
7	Past Perfect Tense	before wednesday he had gone to work.
8	Past Perfect Continuous Tense	since tuesday he had been going to work.
9	Simple Future Tense	tomorrow he will go to work.
10	Future Continuous Tense	after this evening he will be going to work.
11	Future Perfect Tense	after this evening he will have gone to work.
12	Future Perfect Continuous Tense	before the end of summer, he will have been going to work.
13	Simple Present Tense	today he drinks a glass of water.
14	Present Continuous Tense	at the moment he is drinking a glass of water.
15	Present Perfect Tense	this day he has drunk a glass of water.
16	Present Perfect Continuous Tense	this day he has been drinking a glass of water.
17	Simple Past Tense	yesterday at dinner he drank a glass of water.
18	Past Continuous Tense	after 1 pm he was drinking a glass of water.
19	Past Perfect Tense	before 1 pm he had drunk a glass of water.
20	Past Perfect Continuous Tense	since 1 pm he had been drinking a glass of water.
21	Simple Future Tense	tomorrow at 1 pm he will drink a glass of water.
22	Future Continuous Tense	next breakfast he will be drinking a glass of water.
23	Future Perfect Tense	after this weekend he will have drunk a glass of water.
24	Future Perfect Continuous Tense	by tomorrow he will have been drinking a glass of water.
25	Simple Present Tense	today he reads a book.
26	Present Continuous Tense	now he is reading a book.
27	Present Perfect Tense	today he has read a book.
28	Present Perfect Continuous Tense	this day he has been reading a book.
29	Simple Past Tense	after this weekend he read a book.
30	Past Continuous Tense	after this year he was reading a book.
31	Past Perfect Tense	after last week he had read a book.
32	Past Perfect Continuous Tense	after this evening he had been reading a book.
33	Simple Future Tense	tomorrow morning he will read a book.
34	Future Continuous Tense	next year he will be reading a book.
35	Future Perfect Tense	after this night he will have read a book.
36	Future Perfect Continuous Tense	by tomorrow he will have been reading a book.
37	Simple Present Tense	this day he has a car.
38	Present Continuous Tense	now he is having a car.
39	Present Perfect Tense	today he has had a car.
40	Present Perfect Continuous Tense	this day he has been having a car.
41	Simple Past Tense	yesterday evening he had a car.
42	Past Continuous Tense	since 12 o'clock he was having a car.
43	Past Perfect Tense	before monday he had had a car.
44	Past Perfect Continuous Tense	since this weekend he had been having a car.
45	Simple Future Tense	next lunch he will have a car.
46	Future Continuous Tense	next summer he will be having a car.
47	Future Perfect Tense	after lunch he will have had a car.
48	Future Perfect Continuous Tense	in a few weeks he will have been having a car.
49	Simple Present Tense	this day he says he is going to work.
50	Present Continuous Tense	this day he is saying he is going to work.
51	Present Perfect Tense	this day he has said he is going to work.
52	Present Perfect Continuous Tense	today he has been saying he is going to work.
53	Simple Past Tense	yesterday morning he said he was going to work.
54	Past Continuous Tense	since last spring he was saying he was going to work.
55	Past Perfect Tense	after last year he had said he was going to work.
56	Past Perfect Continuous Tense	after breakfast he had been saying he was going to work.
57	Simple Future Tense	soon he will say he is going to work.
58	Future Continuous Tense	next morning he will be saying he is going to work.
59	Future Perfect Tense	after this morning he will have said he is going to work.
60	Future Perfect Continuous Tense	by next week he will have been saying he is going to work.
61	Simple Present Tense	this day he does not go to work.
62	Present Continuous Tense	now he is not going to work.
63	Present Perfect Tense	today he has not gone to work.
64	Present Perfect Continuous Tense	this day he has not been going to work.
65	Simple Past Tense	after this year he did not go to work.
66	Past Continuous Tense	earlier this evening he was not going to work.
67	Past Perfect Tense	previously he had not gone to work.
68	Past Perfect Continuous Tense	since friday he had not been going to work.
69	Simple Future Tense	later this night he will not go to work.
70	Future Continuous Tense	tomorrow at 7 am he will not be going to work.
71	Future Perfect Tense	after this weekend he will not have gone to work.
72	Future Perfect Continuous Tense	by the end of this year, he will not have been going to work.
73	Simple Present Tense	today he writes a letter.
74	Present Continuous Tense	today he is writing a letter.
75	Present Perfect Tense	this day he has written a letter.
76	Present Perfect Continuous Tense	this day he has been writing a letter.
77	Simple Past Tense	earlier this evening he wrote a letter.
78	Past Continuous Tense	after 1 pm he was writing a letter.
79	Past Perfect Tense	earlier he had written a letter.
80	Past Perfect Continuous Tense	since this weekend he had been writing a letter.
81	Simple Future Tense	after this evening he will write a letter.
82	Future Continuous Tense	later this evening he will be writing a letter.
83	Future Perfect Tense	tomorrrow evening he will have written a letter.
84	Future Perfect Continuous Tense	before the end of summer, he will have been writing a letter.
85	Simple Present Tense	this day he looks at the sky.
86	Present Continuous Tense	now he is looking at the sky.
87	Present Perfect Tense	this day he has looked at the sky.
88	Present Perfect Continuous Tense	today he has been looking at the sky.
89	Simple Past Tense	after last winter he looked at the sky.
90	Past Continuous Tense	since this weekend he was looking at the sky.
91	Past Perfect Tense	last weekend he had looked at the sky.
92	Past Perfect Continuous Tense	last autumn he had been looking at the sky.
93	Simple Future Tense	next week he will look at the sky.
94	Future Continuous Tense	later this morning he will be looking at the sky.
95	Future Perfect Tense	after dinner he will have looked at the sky.
96	Future Perfect Continuous Tense	in a few weeks he will have been looking at the sky.
97	Simple Present Tense	this day she eats a sandwich.
98	Present Continuous Tense	this day she is eating a sandwich.
99	Present Perfect Tense	this day she has eaten a sandwich.
100	Present Perfect Continuous Tense	this day she has been eating a sandwich.
101	Simple Past Tense	last wednesday she ate a sandwich.
102	Past Continuous Tense	before sunday she was eating a sandwich.
103	Past Perfect Tense	yesterday she had eaten a sandwich.
104	Past Perfect Continuous Tense	since tuesday she had been eating a sandwich.
105	Simple Future Tense	next winter she will eat a sandwich.
106	Future Continuous Tense	next night she will be eating a sandwich.
107	Future Perfect Tense	next she will have eaten a sandwich.
108	Future Perfect Continuous Tense	by the end of this year, she will have been eating a sandwich.
109	Simple Present Tense	this day he lives in a flat.
110	Present Continuous Tense	today he is living in a flat.
111	Present Perfect Tense	today he has lived in a flat.
112	Present Perfect Continuous Tense	this day he has been living in a flat.
113	Simple Past Tense	after this spring he lived in a flat.
114	Past Continuous Tense	since monday he was living in a flat.
115	Past Perfect Tense	before 9 am he had lived in a flat.
116	Past Perfect Continuous Tense	since friday he had been living in a flat.
117	Simple Future Tense	after lunch he will live in a flat.
118	Future Continuous Tense	the next day he will be living in a flat.
119	Future Perfect Tense	after dinner he will have lived in a flat.
120	Future Perfect Continuous Tense	by the end of this year, he will have been living in a flat.
121	Simple Present Tense	this day he likes music.
122	Present Continuous Tense	now he is liking music.
123	Present Perfect Tense	today he has liked music.
124	Present Perfect Continuous Tense	this day he has been liking music.
125	Simple Past Tense	before sunday he liked music.
126	Past Continuous Tense	earlier this evening he was liking music.
127	Past Perfect Tense	after this weekend he had liked music.
128	Past Perfect Continuous Tense	after 9 o'clock he had been liking music.
129	Simple Future Tense	next dinner he will like music.
130	Future Continuous Tense	after this winter he will be liking music.
131	Future Perfect Tense	later he will have liked music.
132	Future Perfect Continuous Tense	by the end of this year, he will have been liking music.
133	Simple Present Tense	this day he sits on the chair.
134	Present Continuous Tense	now he is sitting on the chair.
135	Present Perfect Tense	this day he has sat on the chair.
136	Present Perfect Continuous Tense	today he has been sitting on the chair.
137	Simple Past Tense	yesterday evening he sat on the chair.
138	Past Continuous Tense	since 9 am he was sitting on the chair.
139	Past Perfect Tense	before monday he had sat on the chair.
140	Past Perfect Continuous Tense	since last year he had been sitting on the chair.
141	Simple Future Tense	after this evening he will sit on the chair.
142	Future Continuous Tense	after this spring he will be sitting on the chair.
143	Future Perfect Tense	next autumn he will have sat on the chair.
144	Future Perfect Continuous Tense	before the end of summer, he will have been sitting on the chair.
145	Simple Present Tense	today she sings a song.
146	Present Continuous Tense	this day she is singing the song.
147	Present Perfect Tense	this day she has sung the song.
148	Present Perfect Continuous Tense	this day she has been singing my song.
149	Simple Past Tense	after 2 o'clock she sang the song.
150	Past Continuous Tense	since 1 pm she was singing a song.
151	Past Perfect Tense	after 9 o'clock she had sung the song.
152	Past Perfect Continuous Tense	since sunday she had been singing the song.
153	Simple Future Tense	next night she will sing a song.
154	Future Continuous Tense	tomorrrow evening she will be singing the song.
155	Future Perfect Tense	later she will have sung the song.
156	Future Perfect Continuous Tense	by the end of this year, she will have been singing the song.
157	Simple Present Tense	today he does his homework.
158	Present Continuous Tense	now he is doing his homework.
159	Present Perfect Tense	today he has done his homework.
160	Present Perfect Continuous Tense	today he has been doing his homework.
161	Simple Past Tense	before last year he did his homework.
162	Past Continuous Tense	last monday he was doing his homework.
163	Past Perfect Tense	after this night he had done his homework.
164	Past Perfect Continuous Tense	after this year he had been doing his homework.
165	Simple Future Tense	after dinner he will do his homework.
166	Future Continuous Tense	tomorrrow evening he will be doing his homework.
167	Future Perfect Tense	after this summer he will have done his homework.
168	Future Perfect Continuous Tense	by the end of this year, he will have been doing his homework.
169	Simple Present Tense	this day he teaches a class.
170	Present Continuous Tense	this day he is teaching a class.
171	Present Perfect Tense	this day he has taught a class.
172	Present Perfect Continuous Tense	this day he has been teaching a class.
173	Simple Past Tense	before wednesday he taught a class.
174	Past Continuous Tense	since this week he was teaching a class.
175	Past Perfect Tense	previously he had taught a class.
176	Past Perfect Continuous Tense	after 1 pm he had been teaching a class.
177	Simple Future Tense	after this summer he will teach a class.
178	Future Continuous Tense	later this morning he will be teaching a class.
179	Future Perfect Tense	after this year he will have taught a class.
180	Future Perfect Continuous Tense	by next week he will have been teaching a class.
181	Simple Present Tense	today he is a teacher.
182	Present Continuous Tense	at the moment he is being a teacher.
183	Present Perfect Tense	today he has been a teacher.
184	Present Perfect Continuous Tense	today he has been being a teacher.
185	Simple Past Tense	before saturday he was a teacher.
186	Past Continuous Tense	since this weekend he was being a teacher.
187	Past Perfect Tense	after last winter he had been a teacher.
188	Past Perfect Continuous Tense	since 9 am he had been being a teacher.
189	Simple Future Tense	next spring he will be a teacher.
190	Future Continuous Tense	tomorrow night he will be being a teacher.
191	Future Perfect Tense	after this evening he will have been a teacher.
192	Future Perfect Continuous Tense	by tomorrow he will have been being a teacher.
193	Simple Present Tense	today he paints the wall.
194	Present Continuous Tense	today he is painting the wall.
195	Present Perfect Tense	this day he has painted the wall.
196	Present Perfect Continuous Tense	today he has been painting the wall.
197	Simple Past Tense	earlier he painted the wall.
198	Past Continuous Tense	after 7 am he was painting the wall.
199	Past Perfect Tense	last winter he had painted the wall.
200	Past Perfect Continuous Tense	after today he had been painting the wall.
201	Simple Future Tense	after today he will paint the wall.
202	Future Continuous Tense	next year he will be painting the wall.
203	Future Perfect Tense	tomorrow morning he will have painted the wall.
204	Future Perfect Continuous Tense	by the end of this year, he will have been painting the wall.
205	Simple Present Tense	today he knows the answer.
206	Present Continuous Tense	today he is knowing the answer.
207	Present Perfect Tense	today he has known the answer.
208	Present Perfect Continuous Tense	today he has been knowing the answer.
209	Simple Past Tense	yesterday he knew the answer.
210	Past Continuous Tense	before last year he was knowing the answer.
211	Past Perfect Tense	after this night he had known the answer.
212	Past Perfect Continuous Tense	after last summer he had been knowing the answer.
213	Simple Future Tense	after this evening he will know the answer.
214	Future Continuous Tense	after this night he will be knowing the answer.
215	Future Perfect Tense	tomorrow he will have known the answer.
216	Future Perfect Continuous Tense	by next week he will have been knowing the answer.
217	Simple Present Tense	today she goes to school.
218	Present Continuous Tense	at the moment she is going to school.
219	Present Perfect Tense	this day she has gone to school.
220	Present Perfect Continuous Tense	today she has been going to school.
221	Simple Past Tense	earlier this evening she went to school.
222	Past Continuous Tense	since monday she was going to school.
223	Past Perfect Tense	earlier this evening she had gone to school.
224	Past Perfect Continuous Tense	before yesterday she had been going to school.
225	Simple Future Tense	tomorrow at 1 pm she will go to school.
226	Future Continuous Tense	later today she will be going to school.
227	Future Perfect Tense	tomorrrow evening she will have gone to school.
228	Future Perfect Continuous Tense	before the end of summer, she will have been going to school.
229	Simple Present Tense	today he watches tv.
230	Present Continuous Tense	today he is watching tv.
231	Present Perfect Tense	today he has been watching tv.
232	Present Perfect Continuous Tense	today he has been watching tv.
233	Simple Past Tense	after 1 pm he watched tv.
234	Past Continuous Tense	since last year he was watching tv.
235	Past Perfect Tense	last week he had watched tv.
236	Past Perfect Continuous Tense	earlier he had been watching tv.
237	Simple Future Tense	next winter he will watch tv.
238	Future Continuous Tense	next night he will be watching tv.
239	Future Perfect Tense	after today he will have watched tv.
240	Future Perfect Continuous Tense	in a few weeks he will have been watching tv.
241	Simple Present Tense	this day he plays football.
242	Present Continuous Tense	now he is playing football.
243	Present Perfect Tense	this day he has played football.
244	Present Perfect Continuous Tense	today he has been playing football.
245	Simple Past Tense	yesterday night he played football.
246	Past Continuous Tense	since tuesday he was playing football.
247	Past Perfect Tense	before sunday he had played football.
248	Past Perfect Continuous Tense	after 7 am he had been playing football.
249	Simple Future Tense	next year he will play football.
250	Future Continuous Tense	later this night he will be playing football.
251	Future Perfect Tense	tomorrow at 1 pm he will have played football.
252	Future Perfect Continuous Tense	before the end of summer, he will have been playing football.
253	Simple Present Tense	this day he takes the bus.
254	Present Continuous Tense	now he is taking the bus.
255	Present Perfect Tense	this day he has taken the bus.
256	Present Perfect Continuous Tense	this day he has been taking the bus.
257	Simple Past Tense	after last autumn he took the bus.
