Id	Tense	Sentence
1	Simple Present Tense	He goes to work.
2	Present Continuous Tense	He is going to work.
3	Present Perfect Tense	He has gone to work.
4	Present Perfect Continuous Tense	He has been going to work.
5	Simple Past Tense	He went to work.
6	Past Continuous Tense	He was going to work.
7	Past Perfect Tense	He had gone to work.
8	Past Perfect Continuous Tense	He had been going to work.
9	Simple Future Tense	He will go to work.
10	Future Continuous Tense	He will be going to work.
11	Future Perfect Tense	He will have gone to work.
12	Future Perfect Continuous Tense	He will have been going to work.
13	Simple Present Tense	He drinks a glass of water.
14	Present Continuous Tense	He is drinking a glass of water.
15	Present Perfect Tense	He has drunk a glass of water.
16	Present Perfect Continuous Tense	He has been drinking a glass of water.
17	Simple Past Tense	He drank a glass of water.
18	Past Continuous Tense	He was drinking a glass of water.
19	Past Perfect Tense	He had drunk a glass of water.
20	Past Perfect Continuous Tense	He had been drinking a glass of water.
21	Simple Future Tense	He will drink a glass of water.
22	Future Continuous Tense	He will be drinking a glass of water.
23	Future Perfect Tense	He will have drunk a glass of water.
24	Future Perfect Continuous Tense	He will have been drinking a glass of water.
25	Simple Present Tense	He reads a book.
26	Present Continuous Tense	He is reading a book.
27	Present Perfect Tense	He has read a book.
28	Present Perfect Continuous Tense	He has been reading a book.
29	Simple Past Tense	He read a book.
30	Past Continuous Tense	He was reading a book.
31	Past Perfect Tense	He had read a book.
32	Past Perfect Continuous Tense	He had been reading a book.
33	Simple Future Tense	He will read a book.
34	Future Continuous Tense	He will be reading a book.
35	Future Perfect Tense	He will have read a book.
36	Future Perfect Continuous Tense	He will have been reading a book.
37	Simple Present Tense	He has a car.
38	Present Continuous Tense	He is having a car.
39	Present Perfect Tense	He has had a car.
40	Present Perfect Continuous Tense	He has been having a car.
41	Simple Past Tense	He had a car.
42	Past Continuous Tense	He was having a car.
43	Past Perfect Tense	He had had a car.
44	Past Perfect Continuous Tense	He had been having a car.
45	Simple Future Tense	He will have a car.
46	Future Continuous Tense	He will be having a car.
47	Future Perfect Tense	He will have had a car.
48	Future Perfect Continuous Tense	He will have been having a car.
49	Simple Present Tense	He says he is going to work.
50	Present Continuous Tense	He is saying he is going to work.
51	Present Perfect Tense	He has said he is going to work.
52	Present Perfect Continuous Tense	He has been saying he is going to work.
53	Simple Past Tense	He said he was going to work.
54	Past Continuous Tense	He was saying he was going to work.
55	Past Perfect Tense	He had said he was going to work.
56	Past Perfect Continuous Tense	He had been saying he was going to work.
